dgp,N,T,T_N,trial,method,precision,recall,f1,hub_recovery,net_density
gaussian,20,20,1.0,9,OLS,0.09090909090909091,0.1,0.09523809523809523,0.2,0.05789473684210526
gaussian,20,20,1.0,9,LASSO,0.1111111111111111,0.05,0.06896551724137931,0.4,0.02368421052631579
gaussian,20,20,1.0,10,OLS,0.03571428571428571,0.05,0.041666666666666664,0.6,0.07368421052631578
gaussian,20,20,1.0,10,LASSO,0.0,0.0,0.0,0.2,0.02894736842105263
gaussian,20,20,1.0,11,OLS,0.0,0.0,0.0,0.2,0.04473684210526316
gaussian,20,20,1.0,11,LASSO,0.0,0.0,0.0,0.2,0.02631578947368421
gaussian,20,20,1.0,12,OLS,0.0,0.0,0.0,0.2,0.05789473684210526
gaussian,20,20,1.0,12,LASSO,0.0,0.0,0.0,0.0,0.013157894736842105
gaussian,20,20,1.0,13,OLS,0.047619047619047616,0.05,0.04878048780487805,0.4,0.05526315789473684
gaussian,20,20,1.0,13,LASSO,0.0,0.0,0.0,0.4,0.018421052631578946
gaussian,20,20,1.0,14,OLS,0.09090909090909091,0.15,0.11320754716981132,0.2,0.0868421052631579
gaussian,20,20,1.0,14,LASSO,0.2222222222222222,0.1,0.13793103448275862,0.2,0.02368421052631579
gaussian,20,20,1.0,15,OLS,0.038461538461538464,0.05,0.043478260869565216,0.8,0.06842105263157895
gaussian,20,20,1.0,15,LASSO,0.0,0.0,0.0,0.6,0.021052631578947368
gaussian,20,20,1.0,16,OLS,0.08,0.1,0.08888888888888889,0.4,0.06578947368421052
gaussian,20,20,1.0,16,LASSO,0.0,0.0,0.0,0.2,0.013157894736842105
gaussian,20,20,1.0,17,OLS,0.14285714285714285,0.2,0.16666666666666666,0.6,0.07368421052631578
gaussian,20,20,1.0,17,LASSO,0.09090909090909091,0.05,0.06451612903225806,0.4,0.02894736842105263
gaussian,20,20,1.0,18,OLS,0.22727272727272727,0.25,0.23809523809523808,0.4,0.05789473684210526
gaussian,20,20,1.0,18,LASSO,0.14285714285714285,0.05,0.07407407407407407,0.4,0.018421052631578946
gaussian,20,20,1.0,19,OLS,0.037037037037037035,0.05,0.0425531914893617,0.2,0.07105263157894737
gaussian,20,20,1.0,19,LASSO,0.0,0.0,0.0,0.4,0.010526315789473684
gaussian,20,20,1.0,20,OLS,0.17647058823529413,0.15,0.16216216216216217,0.0,0.04473684210526316
gaussian,20,20,1.0,20,LASSO,0.25,0.05,0.08333333333333333,0.2,0.010526315789473684
gaussian,20,20,1.0,21,OLS,0.16666666666666666,0.15,0.15789473684210525,0.4,0.04736842105263158
gaussian,20,20,1.0,21,LASSO,0.0,0.0,0.0,0.6,0.021052631578947368
gaussian,20,20,1.0,22,OLS,0.034482758620689655,0.05,0.04081632653061224,0.2,0.07631578947368421
gaussian,20,20,1.0,22,LASSO,0.16666666666666666,0.05,0.07692307692307693,0.2,0.015789473684210527
gaussian,20,20,1.0,23,OLS,0.10526315789473684,0.1,0.10256410256410256,0.2,0.05
gaussian,20,20,1.0,23,LASSO,0.0,0.0,0.0,0.2,0.015789473684210527
gaussian,20,20,1.0,24,OLS,0.0,0.0,0.0,0.2,0.05789473684210526
gaussian,20,20,1.0,24,LASSO,0.0,0.0,0.0,0.2,0.018421052631578946
gaussian,20,20,1.0,25,OLS,0.15625,0.25,0.19230769230769232,0.4,0.08421052631578947
gaussian,20,20,1.0,25,LASSO,0.0,0.0,0.0,0.4,0.021052631578947368
gaussian,20,20,1.0,26,OLS,0.13793103448275862,0.2,0.16326530612244897,0.2,0.07631578947368421
gaussian,20,20,1.0,26,LASSO,0.2,0.1,0.13333333333333333,0.4,0.02631578947368421
gaussian,20,20,1.0,27,OLS,0.0967741935483871,0.15,0.11764705882352941,0.0,0.08157894736842106
gaussian,20,20,1.0,27,LASSO,0.2222222222222222,0.1,0.13793103448275862,0.2,0.02368421052631579
gaussian,20,20,1.0,28,OLS,0.043478260869565216,0.05,0.046511627906976744,0.2,0.060526315789473685
gaussian,20,20,1.0,28,LASSO,0.0,0.0,0.0,0.6,0.02368421052631579
gaussian,20,20,1.0,29,OLS,0.14285714285714285,0.2,0.16666666666666666,0.6,0.07368421052631578
gaussian,20,20,1.0,29,LASSO,0.14285714285714285,0.05,0.07407407407407407,0.8,0.018421052631578946
gaussian,20,20,1.0,30,OLS,0.0,0.0,0.0,0.2,0.07368421052631578
gaussian,20,20,1.0,30,LASSO,0.0,0.0,0.0,0.4,0.02631578947368421
gaussian,20,20,1.0,31,OLS,0.07142857142857142,0.1,0.08333333333333333,0.2,0.07368421052631578
gaussian,20,20,1.0,31,LASSO,0.08333333333333333,0.05,0.0625,0.4,0.031578947368421054
gaussian,20,20,1.0,32,OLS,0.07692307692307693,0.1,0.08695652173913043,0.2,0.06842105263157895
gaussian,20,20,1.0,32,LASSO,0.1,0.05,0.06666666666666667,0.0,0.02631578947368421
gaussian,20,20,1.0,33,OLS,0.05,0.05,0.05,0.2,0.05263157894736842
gaussian,20,20,1.0,33,LASSO,0.0,0.0,0.0,0.6,0.021052631578947368
gaussian,20,20,1.0,34,OLS,0.0,0.0,0.0,0.2,0.06842105263157895
gaussian,20,20,1.0,34,LASSO,0.0,0.0,0.0,0.2,0.021052631578947368
gaussian,20,20,1.0,35,OLS,0.0,0.0,0.0,0.2,0.05526315789473684
gaussian,20,20,1.0,35,LASSO,0.0,0.0,0.0,0.4,0.021052631578947368
gaussian,20,20,1.0,36,OLS,0.0,0.0,0.0,0.0,0.07105263157894737
gaussian,20,20,1.0,36,LASSO,0.0,0.0,0.0,0.2,0.02894736842105263
gaussian,20,20,1.0,37,OLS,0.13636363636363635,0.15,0.14285714285714285,0.2,0.05789473684210526
gaussian,20,20,1.0,37,LASSO,0.1111111111111111,0.05,0.06896551724137931,0.4,0.02368421052631579
