N,T,T_N,trial,h,signal,t_stat,n_conn,n_isol
50,500,10.0,4,60,LASSO_NIO,1.1312271628358375,46,4
50,500,10.0,4,65,Oracle_NIO,1.4695277267708482,41,9
50,500,10.0,4,65,LASSO_NIO,-0.2155965501471728,46,4
50,500,10.0,4,70,Oracle_NIO,1.7940130163822015,41,9
50,500,10.0,4,70,LASSO_NIO,-3.2806224479679615,46,4
50,500,10.0,4,75,Oracle_NIO,-0.1364438190273251,41,9
50,500,10.0,4,75,LASSO_NIO,2.3135478083856955,46,4
50,500,10.0,4,80,Oracle_NIO,-1.8173051334139851,41,9
50,500,10.0,4,80,LASSO_NIO,0.9425331992035201,46,4
50,500,10.0,4,85,Oracle_NIO,-0.6560816934364203,41,9
50,500,10.0,4,85,LASSO_NIO,-1.0308576910900398,46,4
50,500,10.0,4,90,Oracle_NIO,0.40407962818607823,41,9
50,500,10.0,4,90,LASSO_NIO,1.437917760118325,46,4
50,500,10.0,5,0,Oracle_NIO,1.328847611041458,38,12
50,500,10.0,5,0,LASSO_NIO,1.7581602792174316,46,4
50,500,10.0,5,5,Oracle_NIO,0.9174874523649296,38,12
50,500,10.0,5,5,LASSO_NIO,-0.06818041016989644,46,4
50,500,10.0,5,10,Oracle_NIO,0.10269597695114348,38,12
50,500,10.0,5,10,LASSO_NIO,0.5924073100640127,46,4
50,500,10.0,5,15,Oracle_NIO,-0.3484682911882039,38,12
50,500,10.0,5,15,LASSO_NIO,2.1836593135934685,46,4
50,500,10.0,5,20,Oracle_NIO,-2.106175006388903,38,12
50,500,10.0,5,20,LASSO_NIO,-0.19017169161321407,46,4
50,500,10.0,5,25,Oracle_NIO,-1.524122315881392,38,12
50,500,10.0,5,25,LASSO_NIO,-0.6501139253867295,46,4
50,500,10.0,5,30,Oracle_NIO,0.49937407017183744,38,12
50,500,10.0,5,30,LASSO_NIO,-0.061966156954179286,46,4
50,500,10.0,5,35,Oracle_NIO,-2.4650376646563266,38,12
50,500,10.0,5,35,LASSO_NIO,0.5692157480028439,46,4
50,500,10.0,5,40,Oracle_NIO,2.034051580065353,38,12
50,500,10.0,5,40,LASSO_NIO,1.2623201549524252,46,4
50,500,10.0,5,45,Oracle_NIO,-0.5273942163551254,38,12
50,500,10.0,5,45,LASSO_NIO,-0.15423241791555964,46,4
50,500,10.0,5,50,Oracle_NIO,-0.5418889771736032,38,12
50,500,10.0,5,50,LASSO_NIO,0.19918649160686752,46,4
50,500,10.0,5,55,Oracle_NIO,-0.2516998733881238,38,12
50,500,10.0,5,55,LASSO_NIO,-0.6314552797659209,46,4
50,500,10.0,5,60,Oracle_NIO,0.6127455447350957,38,12
50,500,10.0,5,60,LASSO_NIO,-0.22150702742387784,46,4
50,500,10.0,5,65,Oracle_NIO,-0.6835751023304978,38,12
50,500,10.0,5,65,LASSO_NIO,0.09205815063578074,46,4
50,500,10.0,5,70,Oracle_NIO,0.6296763941490869,38,12
50,500,10.0,5,70,LASSO_NIO,-0.35117579956634065,46,4
50,500,10.0,5,75,Oracle_NIO,-0.8160319994799583,38,12
50,500,10.0,5,75,LASSO_NIO,1.6921681268777038,46,4
50,500,10.0,5,80,Oracle_NIO,1.1534311781398623,38,12
50,500,10.0,5,80,LASSO_NIO,-0.8155425733784286,46,4
50,500,10.0,5,85,Oracle_NIO,-0.44560836145898386,38,12
50,500,10.0,5,85,LASSO_NIO,0.25098858944847485,46,4
50,500,10.0,5,90,Oracle_NIO,-1.9312582173070587,38,12
50,500,10.0,5,90,LASSO_NIO,-0.6922815587925737,46,4
50,500,10.0,6,0,Oracle_NIO,0.5124703433021256,39,11
50,500,10.0,6,0,LASSO_NIO,0.3106674289805877,42,8
50,500,10.0,6,5,Oracle_NIO,0.4172171816278008,39,11
50,500,10.0,6,5,LASSO_NIO,0.9809138602288748,42,8
50,500,10.0,6,10,Oracle_NIO,-0.7210276576743582,39,11
50,500,10.0,6,10,LASSO_NIO,-2.517217252847262,42,8
