N,T,T/N,trial,method,precision,recall,f1,hub_recovery,density
20,50,2.5,10,LASSO,0.42857142857142855,0.15,0.2222222222222222,0.2,0.018421052631578946
20,50,2.5,10,KNN,0.15789473684210525,0.15,0.15384615384615385,0.4,0.05
20,50,2.5,11,OLS,,,,,
20,50,2.5,11,LASSO,0.25,0.05,0.08333333333333333,0.4,0.010526315789473684
20,50,2.5,11,KNN,0.05263157894736842,0.05,0.05128205128205128,0.0,0.05
20,50,2.5,12,OLS,,,,,
20,50,2.5,12,LASSO,0.5,0.05,0.09090909090909091,0.4,0.005263157894736842
20,50,2.5,12,KNN,0.10526315789473684,0.1,0.10256410256410256,0.2,0.05
20,50,2.5,13,OLS,,,,,
20,50,2.5,13,LASSO,0.3333333333333333,0.1,0.15384615384615385,0.4,0.015789473684210527
20,50,2.5,13,KNN,0.10526315789473684,0.1,0.10256410256410256,0.2,0.05
20,50,2.5,14,OLS,,,,,
20,50,2.5,14,LASSO,0.0,0.0,0.0,0.4,0.021052631578947368
20,50,2.5,14,KNN,0.05263157894736842,0.05,0.05128205128205128,0.2,0.05
20,50,2.5,15,OLS,,,,,
20,50,2.5,15,LASSO,0.06666666666666667,0.05,0.05714285714285714,0.2,0.039473684210526314
20,50,2.5,15,KNN,0.15789473684210525,0.15,0.15384615384615385,0.4,0.05
20,50,2.5,16,OLS,,,,,
20,50,2.5,16,LASSO,0.0,0.0,0.0,0.4,0.02368421052631579
20,50,2.5,16,KNN,0.05263157894736842,0.05,0.05128205128205128,0.2,0.05
20,50,2.5,17,OLS,,,,,
20,50,2.5,17,LASSO,0.125,0.05,0.07142857142857142,0.2,0.021052631578947368
20,50,2.5,17,KNN,0.10526315789473684,0.1,0.10256410256410256,0.4,0.05
20,50,2.5,18,OLS,,,,,
20,50,2.5,18,LASSO,0.14285714285714285,0.05,0.07407407407407407,0.4,0.018421052631578946
20,50,2.5,18,KNN,0.0,0.0,0.0,0.2,0.05
20,50,2.5,19,OLS,,,,,
20,50,2.5,19,LASSO,0.125,0.05,0.07142857142857142,0.2,0.021052631578947368
20,50,2.5,19,KNN,0.0,0.0,0.0,0.2,0.05
20,50,2.5,20,OLS,,,,,
20,50,2.5,20,LASSO,0.0,0.0,0.0,0.0,0.018421052631578946
20,50,2.5,20,KNN,0.05263157894736842,0.05,0.05128205128205128,0.4,0.05
20,50,2.5,21,OLS,,,,,
20,50,2.5,21,LASSO,0.2727272727272727,0.15,0.1935483870967742,0.4,0.02894736842105263
20,50,2.5,21,KNN,0.0,0.0,0.0,0.6,0.05
20,50,2.5,22,OLS,,,,,
20,50,2.5,22,LASSO,0.125,0.05,0.07142857142857142,0.2,0.021052631578947368
20,50,2.5,22,KNN,0.05263157894736842,0.05,0.05128205128205128,0.2,0.05
20,50,2.5,23,OLS,,,,,
20,50,2.5,23,LASSO,0.25,0.05,0.08333333333333333,0.2,0.010526315789473684
20,50,2.5,23,KNN,0.10526315789473684,0.1,0.10256410256410256,0.2,0.05
20,50,2.5,24,OLS,,,,,
20,50,2.5,24,LASSO,0.06666666666666667,0.05,0.05714285714285714,0.0,0.039473684210526314
20,50,2.5,24,KNN,0.10526315789473684,0.1,0.10256410256410256,0.4,0.05
20,50,2.5,25,OLS,,,,,
20,50,2.5,25,LASSO,0.25,0.1,0.14285714285714285,0.6,0.021052631578947368
20,50,2.5,25,KNN,0.05263157894736842,0.05,0.05128205128205128,0.2,0.05
20,50,2.5,26,OLS,,,,,
20,50,2.5,26,LASSO,0.0,0.0,0.0,0.4,0.007894736842105263
20,50,2.5,26,KNN,0.10526315789473684,0.1,0.10256410256410256,0.2,0.05
20,50,2.5,27,OLS,,,,,
20,50,2.5,27,LASSO,0.08333333333333333,0.05,0.0625,0.6,0.031578947368421054
20,50,2.5,27,KNN,0.05263157894736842,0.05,0.05128205128205128,0.4,0.05
20,50,2.5,28,OLS,,,,,
20,50,2.5,28,LASSO,0.1,0.05,0.06666666666666667,0.2,0.02631578947368421
20,50,2.5,28,KNN,0.05263157894736842,0.05,0.05128205128205128,0.2,0.05
20,50,2.5,29,OLS,,,,,
20,50,2.5,29,LASSO,0.125,0.05,0.07142857142857142,0.2,0.021052631578947368
20,50,2.5,29,KNN,0.0,0.0,0.0,0.2,0.05
20,50,2.5,30,OLS,,,,,
20,50,2.5,30,LASSO,0.0,0.0,0.0,0.2,0.018421052631578946
