formation_date,pred_start,pred_end,mean_te,max_te,p75_te,density,n_stocks
2023-03-24,2023-03-27,2023-03-31,2.52476515081274e-06,4.3968075822506304e-05,3.272243460091977e-06,0.2475,100
2023-03-31,2023-04-03,2023-04-10,2.686517988515813e-06,4.1824218265006984e-05,3.5755211645119688e-06,0.2475,100
2023-04-10,2023-04-11,2023-04-17,2.614357665228666e-06,3.5216982741710996e-05,3.447300342363087e-06,0.2475,100
2023-04-17,2023-04-18,2023-04-24,2.652381864532953e-06,3.965120051522083e-05,3.474888140918284e-06,0.2475,100
2023-04-24,2023-04-25,2023-05-01,2.7307150925998637e-06,3.761636445477807e-05,3.642440230274083e-06,0.2475,100
2023-05-01,2023-05-02,2023-05-08,2.350976943618726e-06,3.347834599037458e-05,3.2911678344391963e-06,0.2475,100
2023-05-08,2023-05-09,2023-05-15,2.420524079138462e-06,3.8356682330504405e-05,3.3301806813185128e-06,0.2475,100
2023-05-15,2023-05-16,2023-05-22,2.5071383673828085e-06,4.690538694845363e-05,3.36015332520589e-06,0.2475,100
2023-05-22,2023-05-23,2023-05-30,2.3774506504650177e-06,4.165494669827034e-05,3.1966631664375364e-06,0.2475,100
2023-05-30,2023-05-31,2023-06-06,2.5065949927726536e-06,3.9331997722694515e-05,3.325429930411788e-06,0.2475,100
2023-06-06,2023-06-07,2023-06-13,2.679703368254062e-06,5.33306272555707e-05,3.5313212546580614e-06,0.2475,100
2023-06-13,2023-06-14,2023-06-21,2.6459115635991776e-06,5.5625672939313516e-05,3.5261090886730167e-06,0.2475,100
2023-06-21,2023-06-22,2023-06-28,2.7421779069539474e-06,5.7375126848866194e-05,3.635599368430621e-06,0.2475,100
2023-06-28,2023-06-29,2023-07-06,2.6820988038830277e-06,5.372318818195771e-05,3.559295729311636e-06,0.2475,100
2023-07-06,2023-07-07,2023-07-13,2.672400793659965e-06,4.9254736800947836e-05,3.425697551158606e-06,0.2475,100
2023-07-13,2023-07-14,2023-07-20,2.636607277043649e-06,4.8173893694822465e-05,3.3511887839950535e-06,0.2475,100
2023-07-20,2023-07-21,2023-07-27,2.6524336138485865e-06,5.081157080521726e-05,3.412215939515893e-06,0.2475,100
2023-07-27,2023-07-28,2023-08-03,2.454816523787885e-06,5.545598575273626e-05,3.1769203259340156e-06,0.2475,100
