method,f1,precision,recall,density_true,density_pred,N,T,trial,T_N_ratio,dgp
LASSO-TE,0.06578947368421052,0.18518518518518517,0.04,0.05102040816326531,0.011020408163265306,50,60,8,1.2,gaussian
OLS-TE,0.17490494296577946,0.16666666666666666,0.184,0.05102040816326531,0.0563265306122449,50,60,8,1.2,gaussian
LASSO-TE,0.07947019867549669,0.23076923076923078,0.048,0.05102040816326531,0.010612244897959184,50,60,9,1.2,gaussian
OLS-TE,0.15267175572519084,0.145985401459854,0.16,0.05102040816326531,0.05591836734693877,50,60,9,1.2,gaussian
LASSO-TE,0.07462686567164178,0.5555555555555556,0.04,0.05102040816326531,0.003673469387755102,50,120,0,2.4,gaussian
OLS-TE,0.18326693227091634,0.18253968253968253,0.184,0.05102040816326531,0.05142857142857143,50,120,0,2.4,gaussian
LASSO-TE,0.03076923076923077,0.4,0.016,0.05102040816326531,0.0020408163265306124,50,120,1,2.4,gaussian
OLS-TE,0.20689655172413793,0.19852941176470587,0.216,0.05102040816326531,0.05551020408163265,50,120,1,2.4,gaussian
LASSO-TE,0.030303030303030304,0.2857142857142857,0.016,0.05102040816326531,0.002857142857142857,50,120,2,2.4,gaussian
OLS-TE,0.21374045801526717,0.20437956204379562,0.224,0.05102040816326531,0.05591836734693877,50,120,2,2.4,gaussian
LASSO-TE,0.0,0.0,0.0,0.05102040816326531,0.0020408163265306124,50,120,3,2.4,gaussian
OLS-TE,0.1728395061728395,0.17796610169491525,0.168,0.05102040816326531,0.04816326530612245,50,120,3,2.4,gaussian
LASSO-TE,0.030303030303030304,0.2857142857142857,0.016,0.05102040816326531,0.002857142857142857,50,120,4,2.4,gaussian
OLS-TE,0.2248062015503876,0.21804511278195488,0.232,0.05102040816326531,0.054285714285714284,50,120,4,2.4,gaussian
LASSO-TE,0.015503875968992248,0.25,0.008,0.05102040816326531,0.0016326530612244899,50,120,5,2.4,gaussian
OLS-TE,0.18705035971223022,0.16993464052287582,0.208,0.05102040816326531,0.062448979591836734,50,120,5,2.4,gaussian
LASSO-TE,0.03125,0.6666666666666666,0.016,0.05102040816326531,0.0012244897959183673,50,120,6,2.4,gaussian
OLS-TE,0.21660649819494585,0.19736842105263158,0.24,0.05102040816326531,0.062040816326530614,50,120,6,2.4,gaussian
LASSO-TE,0.0,0.0,0.0,0.05102040816326531,0.0016326530612244899,50,120,7,2.4,gaussian
OLS-TE,0.20080321285140562,0.20161290322580644,0.2,0.05102040816326531,0.05061224489795919,50,120,7,2.4,gaussian
LASSO-TE,0.06060606060606061,0.5714285714285714,0.032,0.05102040816326531,0.002857142857142857,50,120,8,2.4,gaussian
OLS-TE,0.15267175572519084,0.145985401459854,0.16,0.05102040816326531,0.05591836734693877,50,120,8,2.4,gaussian
LASSO-TE,0.03125,0.6666666666666666,0.016,0.05102040816326531,0.0012244897959183673,50,120,9,2.4,gaussian
OLS-TE,0.1862348178137652,0.1885245901639344,0.184,0.05102040816326531,0.04979591836734694,50,120,9,2.4,gaussian
LASSO-TE,0.13333333333333333,0.9,0.072,0.05102040816326531,0.004081632653061225,50,250,0,5.0,gaussian
OLS-TE,0.32525951557093424,0.2865853658536585,0.376,0.05102040816326531,0.06693877551020408,50,250,0,5.0,gaussian
LASSO-TE,0.21428571428571427,1.0,0.12,0.05102040816326531,0.006122448979591836,50,250,1,5.0,gaussian
OLS-TE,0.3490909090909091,0.32,0.384,0.05102040816326531,0.061224489795918366,50,250,1,5.0,gaussian
LASSO-TE,0.1044776119402985,0.7777777777777778,0.056,0.05102040816326531,0.003673469387755102,50,250,2,5.0,gaussian
OLS-TE,0.2837370242214533,0.25,0.328,0.05102040816326531,0.06693877551020408,50,250,2,5.0,gaussian
LASSO-TE,0.11764705882352941,0.7272727272727273,0.064,0.05102040816326531,0.004489795918367347,50,250,3,5.0,gaussian
OLS-TE,0.311787072243346,0.2971014492753623,0.328,0.05102040816326531,0.0563265306122449,50,250,3,5.0,gaussian
LASSO-TE,0.04580152671755725,0.5,0.024,0.05102040816326531,0.0024489795918367346,50,250,4,5.0,gaussian
OLS-TE,0.34507042253521125,0.3081761006289308,0.392,0.05102040816326531,0.06489795918367347,50,250,4,5.0,gaussian
LASSO-TE,0.11764705882352941,0.7272727272727273,0.064,0.05102040816326531,0.004489795918367347,50,250,5,5.0,gaussian
OLS-TE,0.34146341463414637,0.30246913580246915,0.392,0.05102040816326531,0.06612244897959184,50,250,5,5.0,gaussian
LASSO-TE,0.11940298507462686,0.8888888888888888,0.064,0.05102040816326531,0.003673469387755102,50,250,6,5.0,gaussian
OLS-TE,0.3333333333333333,0.281767955801105,0.408,0.05102040816326531,0.07387755102040816,50,250,6,5.0,gaussian
LASSO-TE,0.11851851851851852,0.8,0.064,0.05102040816326531,0.004081632653061225,50,250,7,5.0,gaussian
OLS-TE,0.30927835051546393,0.2710843373493976,0.36,0.05102040816326531,0.06775510204081632,50,250,7,5.0,gaussian
LASSO-TE,0.11851851851851852,0.8,0.064,0.05102040816326531,0.004081632653061225,50,250,8,5.0,gaussian
OLS-TE,0.2888086642599278,0.2631578947368421,0.32,0.05102040816326531,0.062040816326530614,50,250,8,5.0,gaussian
LASSO-TE,0.1323529411764706,0.8181818181818182,0.072,0.05102040816326531,0.004489795918367347,50,250,9,5.0,gaussian
OLS-TE,0.2949640287769784,0.2679738562091503,0.328,0.05102040816326531,0.062448979591836734,50,250,9,5.0,gaussian
LASSO-TE,0.2127659574468085,0.9375,0.12,0.05102040816326531,0.006530612244897959,50,500,0,10.0,gaussian
OLS-TE,0.45714285714285713,0.37894736842105264,0.576,0.05102040816326531,0.07755102040816327,50,500,0,10.0,gaussian
LASSO-TE,0.16176470588235295,1.0,0.088,0.05102040816326531,0.004489795918367347,50,500,1,10.0,gaussian
OLS-TE,0.4968944099378882,0.40609137055837563,0.64,0.05102040816326531,0.08040816326530613,50,500,1,10.0,gaussian
LASSO-TE,0.2876712328767123,1.0,0.168,0.05102040816326531,0.008571428571428572,50,500,2,10.0,gaussian
OLS-TE,0.5286624203821656,0.43915343915343913,0.664,0.05102040816326531,0.07714285714285714,50,500,2,10.0,gaussian
LASSO-TE,0.24489795918367346,0.8181818181818182,0.144,0.05102040816326531,0.008979591836734694,50,500,3,10.0,gaussian
OLS-TE,0.45454545454545453,0.3825136612021858,0.56,0.05102040816326531,0.0746938775510204,50,500,3,10.0,gaussian
LASSO-TE,0.22377622377622378,0.8888888888888888,0.128,0.05102040816326531,0.007346938775510204,50,500,4,10.0,gaussian
OLS-TE,0.4807692307692308,0.40106951871657753,0.6,0.05102040816326531,0.0763265306122449,50,500,4,10.0,gaussian
LASSO-TE,0.23943661971830985,1.0,0.136,0.05102040816326531,0.0069387755102040816,50,500,5,10.0,gaussian
OLS-TE,0.4375,0.38650306748466257,0.504,0.05102040816326531,0.06653061224489797,50,500,5,10.0,gaussian
LASSO-TE,0.2127659574468085,0.9375,0.12,0.05102040816326531,0.006530612244897959,50,500,6,10.0,gaussian
OLS-TE,0.46258503401360546,0.40236686390532544,0.544,0.05102040816326531,0.06897959183673469,50,500,6,10.0,gaussian
LASSO-TE,0.21428571428571427,1.0,0.12,0.05102040816326531,0.006122448979591836,50,500,7,10.0,gaussian
OLS-TE,0.49842271293375395,0.4114583333333333,0.632,0.05102040816326531,0.0783673469387755,50,500,7,10.0,gaussian
LASSO-TE,0.16058394160583941,0.9166666666666666,0.088,0.05102040816326531,0.004897959183673469,50,500,8,10.0,gaussian
OLS-TE,0.4662576687116564,0.3781094527363184,0.608,0.05102040816326531,0.08204081632653061,50,500,8,10.0,gaussian
LASSO-TE,0.23943661971830985,1.0,0.136,0.05102040816326531,0.0069387755102040816,50,500,9,10.0,gaussian
OLS-TE,0.5032679738562091,0.425414364640884,0.616,0.05102040816326531,0.07387755102040816,50,500,9,10.0,gaussian
LASSO-TE,0.007827788649706457,0.18181818181818182,0.004,0.050505050505050504,0.0011111111111111111,100,60,0,0.6,gaussian
OLS-TE,0.09441233140655106,0.09107806691449814,0.098,0.050505050505050504,0.054343434343434346,100,60,0,0.6,gaussian
LASSO-TE,0.007874015748031496,0.25,0.004,0.050505050505050504,0.0008080808080808081,100,60,1,0.6,gaussian
OLS-TE,0.10361681329423265,0.10133843212237094,0.106,0.050505050505050504,0.05282828282828283,100,60,1,0.6,gaussian
LASSO-TE,0.007782101167315175,0.14285714285714285,0.004,0.050505050505050504,0.0014141414141414141,100,60,2,0.6,gaussian
OLS-TE,0.11822660098522167,0.11650485436893204,0.12,0.050505050505050504,0.05202020202020202,100,60,2,0.6,gaussian
LASSO-TE,0.011627906976744186,0.1875,0.006,0.050505050505050504,0.0016161616161616162,100,60,3,0.6,gaussian
OLS-TE,0.10976744186046512,0.10260869565217391,0.118,0.050505050505050504,0.05808080808080808,100,60,3,0.6,gaussian
LASSO-TE,0.007766990291262136,0.13333333333333333,0.004,0.050505050505050504,0.0015151515151515152,100,60,4,0.6,gaussian
OLS-TE,0.11275964391691394,0.11154598825831702,0.114,0.050505050505050504,0.051616161616161615,100,60,4,0.6,gaussian
LASSO-TE,0.0038910505836575876,0.07142857142857142,0.002,0.050505050505050504,0.0014141414141414141,100,60,5,0.6,gaussian
OLS-TE,0.1252371916508539,0.11913357400722022,0.132,0.050505050505050504,0.05595959595959596,100,60,5,0.6,gaussian
LASSO-TE,0.003875968992248062,0.0625,0.002,0.050505050505050504,0.0016161616161616162,100,60,6,0.6,gaussian
OLS-TE,0.10642570281124498,0.10685483870967742,0.106,0.050505050505050504,0.050101010101010104,100,60,6,0.6,gaussian
LASSO-TE,0.026871401151631478,0.3333333333333333,0.014,0.050505050505050504,0.0021212121212121214,100,60,7,0.6,gaussian
OLS-TE,0.12903225806451613,0.12274368231046931,0.136,0.050505050505050504,0.05595959595959596,100,60,7,0.6,gaussian
LASSO-TE,0.011695906432748537,0.23076923076923078,0.006,0.050505050505050504,0.0013131313131313131,100,60,8,0.6,gaussian
OLS-TE,0.11619047619047619,0.11090909090909092,0.122,0.050505050505050504,0.05555555555555555,100,60,8,0.6,gaussian
LASSO-TE,0.007766990291262136,0.13333333333333333,0.004,0.050505050505050504,0.0015151515151515152,100,60,9,0.6,gaussian
OLS-TE,0.11466165413533834,0.10815602836879433,0.122,0.050505050505050504,0.05696969696969697,100,60,9,0.6,gaussian
LASSO-TE,0.007858546168958742,0.2222222222222222,0.004,0.050505050505050504,0.0009090909090909091,100,120,0,1.2,gaussian
OLS-TE,0.17685794920037629,0.1669626998223801,0.188,0.050505050505050504,0.05686868686868687,100,120,0,1.2,gaussian
LASSO-TE,0.007858546168958742,0.2222222222222222,0.004,0.050505050505050504,0.0009090909090909091,100,120,1,1.2,gaussian
OLS-TE,0.19092627599243855,0.18100358422939067,0.202,0.050505050505050504,0.056363636363636366,100,120,1,1.2,gaussian
LASSO-TE,0.04222648752399232,0.5238095238095238,0.022,0.050505050505050504,0.0021212121212121214,100,120,2,1.2,gaussian
OLS-TE,0.20243673851921273,0.19047619047619047,0.216,0.050505050505050504,0.057272727272727274,100,120,2,1.2,gaussian
LASSO-TE,0.03468208092485549,0.47368421052631576,0.018,0.050505050505050504,0.0019191919191919192,100,120,3,1.2,gaussian
OLS-TE,0.18762088974854932,0.18164794007490637,0.194,0.050505050505050504,0.05393939393939394,100,120,3,1.2,gaussian
LASSO-TE,0.023391812865497075,0.46153846153846156,0.012,0.050505050505050504,0.0013131313131313131,100,120,4,1.2,gaussian
OLS-TE,0.1889763779527559,0.18604651162790697,0.192,0.050505050505050504,0.052121212121212124,100,120,4,1.2,gaussian
LASSO-TE,0.02330097087378641,0.4,0.012,0.050505050505050504,0.0015151515151515152,100,120,5,1.2,gaussian
OLS-TE,0.1704119850187266,0.1602112676056338,0.182,0.050505050505050504,0.057373737373737375,100,120,5,1.2,gaussian
LASSO-TE,0.03131115459882583,0.7272727272727273,0.016,0.050505050505050504,0.0011111111111111111,100,120,6,1.2,gaussian
OLS-TE,0.1739961759082218,0.16666666666666666,0.182,0.050505050505050504,0.05515151515151515,100,120,6,1.2,gaussian
LASSO-TE,0.023529411764705882,0.6,0.012,0.050505050505050504,0.00101010101010101,100,120,7,1.2,gaussian
OLS-TE,0.19723502304147467,0.1829059829059829,0.214,0.050505050505050504,0.05909090909090909,100,120,7,1.2,gaussian
LASSO-TE,0.023483365949119372,0.5454545454545454,0.012,0.050505050505050504,0.0011111111111111111,100,120,8,1.2,gaussian
OLS-TE,0.15252621544327932,0.14571948998178508,0.16,0.050505050505050504,0.05545454545454546,100,120,8,1.2,gaussian
LASSO-TE,0.007827788649706457,0.18181818181818182,0.004,0.050505050505050504,0.0011111111111111111,100,120,9,1.2,gaussian
OLS-TE,0.19838056680161945,0.20081967213114754,0.196,0.050505050505050504,0.04929292929292929,100,120,9,1.2,gaussian
LASSO-TE,0.07662835249042145,0.9090909090909091,0.04,0.050505050505050504,0.0022222222222222222,100,250,0,2.5,gaussian
OLS-TE,0.32239925023430177,0.30335097001763667,0.344,0.050505050505050504,0.057272727272727274,100,250,0,2.5,gaussian
LASSO-TE,0.06165703275529865,0.8421052631578947,0.032,0.050505050505050504,0.0019191919191919192,100,250,1,2.5,gaussian
OLS-TE,0.31569817866435385,0.2787136294027565,0.364,0.050505050505050504,0.06595959595959595,100,250,1,2.5,gaussian
LASSO-TE,0.05394990366088632,0.7368421052631579,0.028,0.050505050505050504,0.0019191919191919192,100,250,2,2.5,gaussian
OLS-TE,0.327693677649154,0.2953451043338684,0.368,0.050505050505050504,0.06292929292929293,100,250,2,2.5,gaussian
LASSO-TE,0.02734375,0.5833333333333334,0.014,0.050505050505050504,0.0012121212121212121,100,250,3,2.5,gaussian
OLS-TE,0.3286467486818981,0.29310344827586204,0.374,0.050505050505050504,0.06444444444444444,100,250,3,2.5,gaussian
LASSO-TE,0.09073724007561437,0.8275862068965517,0.048,0.050505050505050504,0.0029292929292929295,100,250,4,2.5,gaussian
OLS-TE,0.2950530035335689,0.26424050632911394,0.334,0.050505050505050504,0.06383838383838383,100,250,4,2.5,gaussian
