trial,method,true_d1,true_d2,est_d1,est_d2,true_delta,est_delta,correct_direction
64,OLS,0.030612244897959183,0.12244897959183673,0.052244897959183675,0.07183673469387755,0.09183673469387754,0.019591836734693877,1
64,LASSO,0.030612244897959183,0.12244897959183673,0.0016326530612244899,0.0016326530612244899,0.09183673469387754,0.0,0
65,OLS,0.030612244897959183,0.12244897959183673,0.0473469387755102,0.07020408163265306,0.09183673469387754,0.022857142857142854,1
65,LASSO,0.030612244897959183,0.12244897959183673,0.0020408163265306124,0.0012244897959183673,0.09183673469387754,-0.0008163265306122451,0
66,OLS,0.030612244897959183,0.12244897959183673,0.05836734693877551,0.07061224489795918,0.09183673469387754,0.012244897959183675,1
66,LASSO,0.030612244897959183,0.12244897959183673,0.0020408163265306124,0.003673469387755102,0.09183673469387754,0.0016326530612244894,1
67,OLS,0.030612244897959183,0.12244897959183673,0.05673469387755102,0.0836734693877551,0.09183673469387754,0.026938775510204085,1
67,LASSO,0.030612244897959183,0.12244897959183673,0.0020408163265306124,0.0032653061224489797,0.09183673469387754,0.0012244897959183673,1
68,OLS,0.030612244897959183,0.12244897959183673,0.04816326530612245,0.06693877551020408,0.09183673469387754,0.01877551020408163,1
68,LASSO,0.030612244897959183,0.12244897959183673,0.0024489795918367346,0.0024489795918367346,0.09183673469387754,0.0,0
69,OLS,0.030612244897959183,0.12244897959183673,0.054285714285714284,0.06938775510204082,0.09183673469387754,0.015102040816326531,1
69,LASSO,0.030612244897959183,0.12244897959183673,0.0012244897959183673,0.002857142857142857,0.09183673469387754,0.0016326530612244899,1
70,OLS,0.030612244897959183,0.12244897959183673,0.054285714285714284,0.06857142857142857,0.09183673469387754,0.01428571428571429,1
70,LASSO,0.030612244897959183,0.12244897959183673,0.0,0.0020408163265306124,0.09183673469387754,0.0020408163265306124,1
71,OLS,0.030612244897959183,0.12244897959183673,0.054285714285714284,0.08204081632653061,0.09183673469387754,0.027755102040816326,1
71,LASSO,0.030612244897959183,0.12244897959183673,0.00040816326530612246,0.005714285714285714,0.09183673469387754,0.005306122448979592,1
72,OLS,0.030612244897959183,0.12244897959183673,0.05020408163265306,0.07428571428571429,0.09183673469387754,0.02408163265306123,1
72,LASSO,0.030612244897959183,0.12244897959183673,0.0,0.005714285714285714,0.09183673469387754,0.005714285714285714,1
73,OLS,0.030612244897959183,0.12244897959183673,0.04857142857142857,0.06612244897959184,0.09183673469387754,0.017551020408163268,1
73,LASSO,0.030612244897959183,0.12244897959183673,0.00040816326530612246,0.006530612244897959,0.09183673469387754,0.006122448979591837,1
74,OLS,0.030612244897959183,0.12244897959183673,0.05102040816326531,0.0783673469387755,0.09183673469387754,0.0273469387755102,1
74,LASSO,0.030612244897959183,0.12244897959183673,0.0012244897959183673,0.0024489795918367346,0.09183673469387754,0.0012244897959183673,1
75,OLS,0.030612244897959183,0.12244897959183673,0.052653061224489796,0.0783673469387755,0.09183673469387754,0.02571428571428571,1
75,LASSO,0.030612244897959183,0.12244897959183673,0.0024489795918367346,0.0024489795918367346,0.09183673469387754,0.0,0
76,OLS,0.030612244897959183,0.12244897959183673,0.05061224489795919,0.07142857142857142,0.09183673469387754,0.020816326530612238,1
76,LASSO,0.030612244897959183,0.12244897959183673,0.0012244897959183673,0.002857142857142857,0.09183673469387754,0.0016326530612244899,1
77,OLS,0.030612244897959183,0.12244897959183673,0.054693877551020405,0.07714285714285714,0.09183673469387754,0.022448979591836733,1
77,LASSO,0.030612244897959183,0.12244897959183673,0.0020408163265306124,0.002857142857142857,0.09183673469387754,0.0008163265306122447,1
78,OLS,0.030612244897959183,0.12244897959183673,0.046122448979591835,0.07877551020408163,0.09183673469387754,0.0326530612244898,1
78,LASSO,0.030612244897959183,0.12244897959183673,0.0012244897959183673,0.0024489795918367346,0.09183673469387754,0.0012244897959183673,1
79,OLS,0.030612244897959183,0.12244897959183673,0.046122448979591835,0.06857142857142857,0.09183673469387754,0.02244897959183674,1
79,LASSO,0.030612244897959183,0.12244897959183673,0.0032653061224489797,0.0069387755102040816,0.09183673469387754,0.003673469387755102,1
80,OLS,0.030612244897959183,0.12244897959183673,0.04979591836734694,0.07306122448979592,0.09183673469387754,0.02326530612244898,1
80,LASSO,0.030612244897959183,0.12244897959183673,0.0016326530612244899,0.0020408163265306124,0.09183673469387754,0.00040816326530612257,1
81,OLS,0.030612244897959183,0.12244897959183673,0.05142857142857143,0.07510204081632653,0.09183673469387754,0.0236734693877551,1
81,LASSO,0.030612244897959183,0.12244897959183673,0.0024489795918367346,0.0024489795918367346,0.09183673469387754,0.0,0
82,OLS,0.030612244897959183,0.12244897959183673,0.044897959183673466,0.08,0.09183673469387754,0.035102040816326535,1
82,LASSO,0.030612244897959183,0.12244897959183673,0.003673469387755102,0.007755102040816327,0.09183673469387754,0.004081632653061225,1
83,OLS,0.030612244897959183,0.12244897959183673,0.04938775510204082,0.08081632653061224,0.09183673469387754,0.031428571428571424,1
83,LASSO,0.030612244897959183,0.12244897959183673,0.0008163265306122449,0.0032653061224489797,0.09183673469387754,0.0024489795918367346,1
84,OLS,0.030612244897959183,0.12244897959183673,0.043673469387755105,0.07918367346938776,0.09183673469387754,0.035510204081632656,1
84,LASSO,0.030612244897959183,0.12244897959183673,0.0012244897959183673,0.004489795918367347,0.09183673469387754,0.0032653061224489797,1
85,OLS,0.030612244897959183,0.12244897959183673,0.05714285714285714,0.0673469387755102,0.09183673469387754,0.010204081632653066,1
85,LASSO,0.030612244897959183,0.12244897959183673,0.0016326530612244899,0.002857142857142857,0.09183673469387754,0.0012244897959183673,1
86,OLS,0.030612244897959183,0.12244897959183673,0.04693877551020408,0.07510204081632653,0.09183673469387754,0.028163265306122447,1
86,LASSO,0.030612244897959183,0.12244897959183673,0.0024489795918367346,0.007346938775510204,0.09183673469387754,0.004897959183673469,1
87,OLS,0.030612244897959183,0.12244897959183673,0.045306122448979594,0.07510204081632653,0.09183673469387754,0.029795918367346935,1
